headword,level,toefl,ielts
award,A2,1,1
aware,B1,1,1
awareness,B1,1,0
away,A1,0,1
awe,B2,0,1
awesome,B1,1,1
awful,A2,1,1
awfully,C1,0,1
awkward,B1,1,1
awkwardly,C1,1,1
awkwardness,C1,0,1
ax/axe,B2,1,1
axial,B2,0,1
axiom,C2,1,0
axiomatic,C2,0,0
axis,B2,1,1
axle,C1,0,1
babble,C2,0,0
baboon,B2,1,0
baby,A1,1,1
baby-sit,C2,0,1
baby-sitter,C2,1,1
babysit,B1,0,0
babysitter,B1,0,0
bachelor,C1,1,1
back,A2,0,1
backache,B1,0,0
backbone,B2,1,1
backdate,C2,0,1
background,A2,1,1
backing,C2,0,1
backlog,C1,0,1
backpack,B1,0,0
backpacker,B1,0,0
backpacking,B1,0,0
backup,B2,0,0
backward/backwards,B2,1,1
backwardness,C1,0,1
backyard,B2,0,0
bacon,B1,0,1
bacteria,B1,1,0
bacterial,B2,1,0
bacterium,C1,1,1
bad,A1,0,1
bad-tempered,B2,0,0
badge,B2,0,1
badly,A2,1,1
badminton,A2,0,1
baffle,C1,1,1
bag,A1,1,1
baggage,B1,1,1
baggy,C1,0,1
bait,C1,0,1
bake,A2,0,1
baker,B1,0,1
bakery,B1,0,1
balance,B1,1,1
balanced,B2,0,0
balcony,A2,1,1
bald,B1,1,1
baldly,C1,0,0
balky,B2,0,0
ball,A1,1,1
ballad,B2,1,0
ballet,B2,1,1
balloon,A2,0,1
ballooning,C1,0,1
ballot,B2,0,0
ballroom,C1,0,1
bamboo,B2,0,1
ban,B2,1,0
banana,A1,1,1
band,A1,1,1
bandage,B1,0,1
bandit,C1,0,1
bang,B1,1,1
banish,C2,0,0
banishment,C2,0,0
bank,A1,1,1
bank account,B1,0,0
banker,B2,1,1
banking,A2,0,1
bankrupt,B2,1,1
bankruptcy,B2,1,0
banner,B2,1,1
banquet,B2,1,1
bar,A1,1,1
barb,C1,1,0
barbecue,A2,1,0
barber,A2,1,1
barbershop,B2,0,0
bare,B1,1,1
